   114/399        0G   0.01787  0.007738         0   0.02561         8       640         1         1    0.9958    0.8499   0.01059  0.003111         0
   115/399        0G    0.0188   0.00967         0   0.02847         7       640         1         1    0.9958    0.8845  0.007665  0.003036         0
   116/399        0G   0.01882  0.009031         0   0.02785        10       640    0.9999         1    0.9958    0.8587   0.01073  0.003191         0
   117/399        0G   0.01885  0.009777         0   0.02862        21       640         1         1    0.9958    0.8728  0.009069   0.00317         0
   118/399        0G   0.02078  0.009138         0   0.02992        10       640         1         1    0.9957    0.7907   0.01148  0.003102         0
   119/399        0G   0.01917  0.008581         0   0.02775        13       640         1         1    0.9958    0.8131  0.009102  0.003165         0
   120/399        0G   0.01828  0.008843         0   0.02713        13       640         1         1    0.9957    0.8654  0.009648  0.003182         0
   121/399        0G   0.01972   0.00914         0   0.02886        10       640         1         1    0.9957    0.8771  0.008573  0.003171         0
   122/399        0G   0.01923  0.008778         0   0.02801         8       640    0.9999         1    0.9957    0.8545  0.007669  0.003209         0
   123/399        0G   0.02068  0.009243         0   0.02992        10       640     0.973    0.9907    0.9951    0.8653   0.00773  0.003183         0
   124/399        0G   0.01778  0.008115         0    0.0259        10       640    0.9909         1    0.9957    0.8621   0.01134  0.003189         0
   125/399        0G    0.0215   0.01066         0   0.03216        14       640         1         1    0.9958    0.8788  0.009929  0.003059         0
   126/399        0G   0.02019  0.009562         0   0.02975         9       640    0.9999         1    0.9958    0.8764  0.007958  0.003028         0
   127/399        0G    0.0163  0.007971         0   0.02428        10       640    0.9999         1    0.9958     0.881  0.007128   0.00306         0
   128/399        0G   0.01912   0.01012         0   0.02924        22       640    0.9999         1    0.9959     0.892  0.008486   0.00315         0
   129/399        0G   0.01884   0.00899         0   0.02783        14       640    0.9999         1     0.996    0.9069   0.00712  0.003064         0
   130/399        0G   0.02026  0.008909         0   0.02917        18       640         1         1     0.996    0.8291    0.0108  0.003199         0
   131/399        0G   0.02245  0.009384         0   0.03183        11       640    0.9999         1     0.996    0.8829  0.008075  0.003109         0
   132/399        0G    0.0203   0.00884         0   0.02914        12       640         1         1     0.996    0.8434  0.008712  0.003077         0
   133/399        0G   0.01939  0.009351         0   0.02874        10       640         1         1     0.996    0.8945  0.006826  0.002932         0
   134/399        0G    0.0172  0.008547         0   0.02574        22       640         1         1    0.9959    0.8905  0.008283  0.002996         0
   135/399        0G    0.0218  0.009058         0   0.03086        12       640         1         1    0.9959    0.8835  0.007732  0.002991         0
   136/399        0G   0.01776  0.008103         0   0.02587        10       640         1         1     0.996    0.8924  0.007676  0.002964         0
   137/399        0G   0.01813  0.008369         0    0.0265         9       640         1         1     0.996    0.8691  0.007056   0.00291         0
   138/399        0G   0.01885  0.009357         0   0.02821        13       640         1         1    0.9962    0.8861  0.007285  0.002838         0
   139/399        0G   0.01625  0.009848         0    0.0261         9       640         1         1    0.9963    0.8877  0.006859  0.002834         0
   140/399        0G   0.01973  0.009031         0   0.02876        10       640         1         1    0.9963    0.8817  0.007023  0.002815         0
   141/399        0G   0.01613  0.009964         0    0.0261         9       640         1         1    0.9963    0.8576  0.006809   0.00285         0
   142/399        0G   0.01715  0.008606         0   0.02576        13       640         1         1    0.9962    0.8602  0.006592  0.002831         0
   143/399        0G   0.01706  0.008315         0   0.02538        12       640         1         1    0.9963    0.8904  0.006241  0.002854         0
   144/399        0G   0.02143   0.01085         0   0.03228        19       640    0.9909         1    0.9961    0.7935  0.009795  0.003024         0
   145/399        0G   0.02017  0.009483         0   0.02965        14       640         1    0.9907    0.9962    0.8143  0.009204  0.003042         0
   146/399        0G   0.02068  0.009312         0   0.02999        12       640    0.9909         1     0.996    0.8438  0.008404  0.002956         0
   147/399        0G   0.02004  0.009202         0   0.02924        17       640         1         1    0.9961    0.8611  0.006626  0.002883         0
   148/399        0G   0.01681  0.008588         0    0.0254         9       640         1         1    0.9961    0.8265  0.008051  0.002967         0
   149/399        0G   0.01928  0.007988         0   0.02727        15       640         1         1     0.996    0.8701  0.006915  0.002952         0
   150/399        0G   0.01418  0.007655         0   0.02183        14       640         1         1     0.996    0.8784  0.006363  0.003003         0
   151/399        0G   0.01741  0.008005         0   0.02542        13       640         1         1     0.996    0.8586   0.00668   0.00297         0
   152/399        0G    0.0189   0.00909         0   0.02799        18       640         1    0.9908    0.9959    0.8899  0.006562  0.002944         0
   153/399        0G   0.01741  0.008958         0   0.02637        11       640         1         1     0.996     0.908  0.006162  0.002954         0
   154/399        0G   0.01811   0.00863         0   0.02674        16       640         1    0.9908    0.9959    0.8729  0.008369  0.003119         0
   155/399        0G   0.01651  0.009065         0   0.02558         9       640    0.9909         1    0.9958    0.9033  0.006764  0.002979         0
   156/399        0G   0.01716  0.007943         0    0.0251         7       640         1         1    0.9958    0.8573  0.008758  0.003002         0
   157/399        0G   0.01566  0.009844         0   0.02551        22       640         1         1    0.9958    0.9034  0.006761   0.00285         0
   158/399        0G   0.02117   0.01012         0    0.0313        22       640         1         1     0.996    0.8992  0.006973  0.002761         0
   159/399        0G   0.01449  0.008437         0   0.02292         7       640         1         1    0.9959    0.9216  0.005558  0.002656         0
   160/399        0G   0.01731  0.008546         0   0.02585        15       640         1         1     0.996    0.8725  0.008674  0.002816         0
   161/399        0G   0.01707  0.009373         0   0.02644        17       640         1         1    0.9959     0.911   0.00649  0.002618         0
   162/399        0G   0.01827  0.008745         0   0.02701        12       640         1         1    0.9958    0.8896  0.006781  0.002676         0
   163/399        0G   0.01764  0.009279         0   0.02692        20       640         1         1    0.9959    0.8805  0.006373   0.00279         0
   164/399        0G   0.01868  0.008705         0   0.02738        11       640         1         1    0.9959    0.8646  0.007729  0.003035         0
   165/399        0G   0.01397  0.008488         0   0.02246        13       640         1         1    0.9959    0.8951  0.006125  0.002835         0
   166/399        0G   0.01734  0.008448         0   0.02578        12       640         1         1    0.9957    0.8767  0.008027   0.00287         0
   167/399        0G   0.01792   0.00886         0   0.02678        10       640         1         1    0.9957    0.8978  0.007413  0.002843         0
   168/399        0G   0.01941  0.009469         0   0.02888         9       640         1         1    0.9958    0.8836  0.007228  0.002788         0
   169/399        0G   0.01662   0.00851         0   0.02513        12       640         1         1    0.9957    0.9198  0.006026  0.002652         0
